LIMSI_Moses_a2e_cn_primary 0.4384 0.5242 0.3471 0.4383 0.5240 0.3469 10.40 10.98 8.738 0.4724 0.4051 0.5373 0.6212 0.6851 0.5582
IBM_a2e_cn_contrast2 0.4363 0.5253 0.3410 0.4361 0.5250 0.3408 10.60 11.12 9.020 0.4677 0.3991 0.5338 0.6419 0.7059 0.5786
SRI_a2e_cn_contrast3 0.4335 0.5181 0.3457 0.4334 0.5180 0.3456 10.42 10.94 8.985 0.4887 0.4192 0.5557 0.6327 0.6885 0.5787
CMU-SMT_a2e_cn_primary 0.4304 0.5055 0.3473 0.4302 0.5053 0.3469 10.33 10.72 8.896 0.4823 0.4182 0.5442 0.6365 0.6988 0.5748
IBM_a2e_cn_contrast3 0.4289 0.5145 0.3377 0.4286 0.5142 0.3373 10.37 10.93 8.758 0.4736 0.4087 0.5362 0.6292 0.6919 0.5676
CMU-SMT_a2e_cn_contrast2 0.4287 0.5082 0.3461 0.4285 0.5080 0.3460 10.21 10.77 8.695 0.4972 0.4177 0.5738 0.6266 0.6903 0.5629
LIMSI_Moses+Ncode_a2e_cn_contrast2 0.4264 0.5242 0.3248 0.4262 0.5240 0.3246 10.33 10.98 8.744 0.4861 0.4051 0.5643 0.6233 0.6851 0.5629
CMU-SMT_a2e_cn_contrast1 0.4247 0.4966 0.3410 0.4244 0.4963 0.3407 10.29 10.58 8.915 0.4832 0.4254 0.5389 0.6398 0.7009 0.5793
FBK_a2e_cn_contrast1 0.4231 0.5020 0.3349 0.4229 0.5019 0.3347 10.07 10.50 8.678 0.4964 0.4239 0.5663 0.6533 0.7170 0.5910
UvA_a2e_cn_primarydebug(1)(2) 0.4221 0.5087 0.3294 0.4220 0.5086 0.3293 10.31 10.88 8.512 0.4817 0.4170 0.5441 0.6257 0.6930 0.5584
isi-lw_a2e_cn_contrast2 0.4200 0.4860 0.3434 0.4198 0.4858 0.3432 10.16 10.43 8.936 0.5157 0.4500 0.5790 0.6395 0.7003 0.5790
columbia_a2e_cn_primary 0.4157 0.4932 0.3331 0.4156 0.4931 0.3330 10.27 10.73 8.785 0.4747 0.4160 0.5313 0.6269 0.6847 0.5698
LIMSI_Ncode_a2e_cn_contrast1 0.4116 0.4943 0.3248 0.4115 0.4943 0.3246 10.22 10.72 8.744 0.4953 0.4237 0.5643 0.6250 0.6882 0.5629
TUBITAK_a2e_cn_primary 0.4112 0.4826 0.3310 0.4121 0.4827 0.3312 10.01 10.43 8.659 0.5129 0.4445 0.5789 0.6259 0.6890 0.5627
